subset_ID,data_type,facies_suit_proportions_type,case_study_ID,cs_age_from,cs_age_to,system_ID,sys_age_from,sys_age_to,sand_fraction,sys_gs_category,age,epoch,period,era,start_ma,end_ma,climate,age_order
405,outcrop,NA,201,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
406,outcrop,"type,grain size,general structures,laminations",201,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
407,outcrop,NA,201,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
408,outcrop,NA,201,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
487,outcrop,NA,206,16,15,210,17,15,0.971341,sandy system,Rupelian,Oligocene,Paleogene,Cenozoic,33.9,27.82,icehouse,95
488,outcrop,NA,206,16,15,210,17,15,0.971341,sandy system,Rupelian,Oligocene,Paleogene,Cenozoic,33.9,27.82,icehouse,95
489,outcrop,NA,207,16,16,210,17,15,0.971341,sandy system,Rupelian,Oligocene,Paleogene,Cenozoic,33.9,27.82,icehouse,95
492,high resolution 3D seismic,NA,209,113,112,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
493,high resolution 3D seismic,NA,209,113,112,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
494,high resolution 3D seismic,NA,210,113,111,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
495,high resolution 3D seismic,NA,210,113,111,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
1291,outcrop,"type,grain size,general structures,laminations",393,13,12,224,13,12,0.9134698,gravelly-sand system,Burdigalian,Miocene,Neogene,Cenozoic,20.44,15.97,icehouse,98
1294,outcrop,"type,grain size,general structures,laminations",396,87,85,227,87,85,1,sandy system,Katian,Upper Ordovician,Ordovician,Paleozoic,453,445.2,icehouse,25
1295,outcrop,"type,grain size",397,143,143,5,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain,9.5
1296,outcrop,"type,grain size,general structures,laminations",397,143,143,5,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain,9.5
1297,outcrop,"type,grain size,general structures,laminations",398,87,87,228,87,87,0.9419584,gravelly-sand system,Darriwilian,Middle Ordovician,Ordovician,Paleozoic,467.3,458.4,greenhouse,23
1298,outcrop,"type,grain size,general structures,laminations",399,81,81,1052,136,136,0.9650669,sandy system,(Upper Ordovician),Upper Ordovician,Ordovician,Paleozoic,458.4,443.8,greenhouse,26.5
1299,outcrop,"type,grain size,general structures,laminations",400,81,81,1052,136,136,0.9650669,sandy system,(Upper Ordovician),Upper Ordovician,Ordovician,Paleozoic,458.4,443.8,greenhouse,26.5
1301,outcrop,"type,grain size,general structures,laminations",402,81,76,230,81,76,0.8596585,gravelly-sand system,(Pridoli),Pridoli,Silurian,Paleozoic,423,419.2,icehouse,34
1302,outcrop,"type,grain size,general structures,laminations",402,81,76,230,81,76,0.8596585,gravelly-sand system,(Pridoli),Pridoli,Silurian,Paleozoic,423,419.2,icehouse,34
1303,outcrop,"type,grain size,general structures,laminations",402,81,76,230,81,76,0.8596585,gravelly-sand system,(Pridoli),Pridoli,Silurian,Paleozoic,423,419.2,icehouse,34
1304,outcrop,"type,grain size,general structures,laminations",402,81,76,230,81,76,0.8596585,gravelly-sand system,(Pridoli),Pridoli,Silurian,Paleozoic,423,419.2,icehouse,34
1305,outcrop,"type,grain size,general structures,laminations",402,81,76,230,81,76,0.8596585,gravelly-sand system,(Pridoli),Pridoli,Silurian,Paleozoic,423,419.2,icehouse,34
1306,outcrop,"type,grain size,general structures,laminations",402,81,76,230,81,76,0.8596585,gravelly-sand system,(Pridoli),Pridoli,Silurian,Paleozoic,423,419.2,icehouse,34
1307,outcrop,"type,grain size,general structures,laminations",402,81,76,230,81,76,0.8596585,gravelly-sand system,(Pridoli),Pridoli,Silurian,Paleozoic,423,419.2,icehouse,34
1308,outcrop,"type,grain size,general structures,laminations",402,81,76,230,81,76,0.8596585,gravelly-sand system,(Pridoli),Pridoli,Silurian,Paleozoic,423,419.2,icehouse,34
1309,outcrop,"type,grain size,general structures,laminations",403,88,87,231,88,87,1,sandy system,Darriwilian,Middle Ordovician,Ordovician,Paleozoic,467.3,458.4,greenhouse,23
1310,outcrop,"type,grain size,general structures,laminations",404,68,67,232,68,67,0.6468895,gravelly-sand system,Visean,Middle Mississippian,Carboniferous,Paleozoic,346.7,330.9,icehouse,43
1312,"wireline log,core","type,grain size,general structures,laminations",406,37,35,234,37,35,0.8729797,gravelly-sand system,Tithonian,Upper Jurassic,Jurassic,Mesozoic,152.1,145,greenhouse,75
1313,core,"type,grain size,general structures,laminations",407,37,35,235,37,35,0.6324705,gravelly-sand system,Tithonian,Upper Jurassic,Jurassic,Mesozoic,152.1,145,greenhouse,75
1314,outcrop,"type,grain size,general structures,laminations",408,115,115,236,115,115,1,sandy system,(Eocene),Eocene,Paleogene,Cenozoic,56,33.9,greenhouse,94.5
1315,outcrop,"type,grain size,general structures,laminations",409,24,23,237,24,23,0.994898,sandy system,Maastrichtian,Upper Cretaceous,Cretaceous,Mesozoic,72.1,66,greenhouse,87
1316,outcrop,"type,grain size,general structures,laminations",410,24,24,238,24,24,1,sandy system,Campanian,Upper Cretaceous,Cretaceous,Mesozoic,83.6,72.1,greenhouse,86
1317,outcrop,"type,grain size,general structures,laminations",411,115,115,239,115,115,0.7845041,gravelly-sand system,(Eocene),Eocene,Paleogene,Cenozoic,56,33.9,greenhouse,94.5
